fecha,area_km2
2018-03-05,5.818
2018-03-15,4.686
2018-03-20,6.672
2018-03-25,3.809
2018-05-04,1.131
2018-05-24,5.053
2018-09-06,4.674
2018-10-01,3.34
2018-10-21,4.253
2018-11-15,1.124
2018-11-20,1.514
2018-11-25,2.27
2018-12-10,0.402
2018-12-15,0.925
2018-12-30,6.838
2019-03-05,2.777
2019-03-10,0.125
2019-06-08,7.232
2019-06-18,4.32
2019-07-03,4.784
2019-08-02,8.445
2021-02-22,2.096
2021-04-13,0.553
2021-05-23,6.316
2021-07-02,5.373
2021-07-27,6.986
2021-08-01,3.128
2021-11-29,4.076
2021-12-04,1.914
2022-01-18,1.4
2022-01-23,0.654
2022-02-27,1.054
2022-03-24,4.859
2022-03-29,1.454
2022-04-03,2.274
2022-04-13,2.318
2022-04-28,5.706
2022-05-03,3.719
2022-07-07,7.437
2022-11-14,2.075
2022-12-04,0.045
2022-12-19,0.975
2022-12-24,2.537
2023-01-03,1.31
2023-01-28,0.612
2023-02-02,1.982
2023-02-17,1.65
2023-02-27,1.489
2023-03-14,4.598
2023-03-24,0.191
2023-03-29,0.832
2023-05-18,3.681
2023-11-19,9.854
2023-11-29,9.256
2023-12-09,5.262
2024-01-08,8.282
2024-01-18,7.828
2024-02-02,8.855
2024-02-12,8.191
2024-03-03,3.223
2024-03-08,6.253
2024-03-13,3.96
2024-04-07,6.777
2024-04-17,3.43
2024-04-27,3.297
2024-07-01,10.142
2024-07-06,7.563
2024-07-16,6.671
2024-09-14,8.362
2024-11-23,8.007
2024-11-28,11.031
2024-12-13,6.807
2025-01-17,4.634
2025-02-06,2.895
2025-03-03,1.977
2025-03-08,4.608
2025-03-18,2.502
2025-04-07,5.24
2025-04-12,7.514
2025-04-27,4.728
2025-05-02,7.099
2025-05-27,9.011
2025-06-01,8.346
2025-06-18,9.715
2025-06-26,8.714
2025-07-01,8.176
2025-07-16,6.585
2025-08-20,6.759
2025-08-25,8.12
2025-09-04,6.177
2025-09-09,4.744
2025-10-06,3.883
2025-10-26,4.29
2025-12-23,1.231
2025-12-25,2.722
2026-01-17,1.394
2026-02-06,0.828
2026-02-11,2.636
2026-02-16,0.254
2026-02-26,0.33
2026-03-03,1.796
2026-03-18,1.003
2026-03-25,1.555
2026-03-28,2.557
2026-04-02,5.848
2026-04-22,5.174
2026-05-02,4.919
