fecha,area_km2,poligonos
2018-03-05,5.27,1
2018-03-15,5.024,1
2018-03-20,7.154,1
2018-03-25,4.18,1
2018-05-04,1.528,1
2018-05-24,2.968,1
2018-09-06,3.846,1
2018-10-01,2.689,1
2018-10-21,5.005,1
2018-11-15,0.0,0
2018-11-20,1.698,1
2018-11-25,1.246,1
2018-12-10,0.0,0
2018-12-15,0.445,1
2018-12-30,2.639,1
2019-03-05,3.621,1
2019-03-10,0.0,0
2019-06-08,6.571,1
2019-06-18,6.296,1
2019-07-03,6.075,1
2019-08-02,9.174,1
2021-02-22,1.921,1
2021-04-13,0.387,1
2021-05-23,4.772,1
2021-07-02,1.873,1
2021-07-27,5.16,1
2021-08-01,0.839,1
2021-11-29,0.082,1
2021-12-04,0.556,1
2022-01-18,0.571,1
2022-01-23,0.0,0
2022-02-27,0.223,1
2022-03-24,1.231,1
2022-03-29,0.02,1
2022-04-03,2.786,1
2022-04-13,1.962,1
2022-04-28,3.514,1
2022-05-03,4.523,1
2022-07-07,1.821,1
2022-11-14,0.0,0
2022-12-04,0.0,0
2022-12-19,0.878,1
2022-12-24,0.233,1
2023-01-03,1.111,1
2023-01-28,0.324,1
2023-02-02,0.0,0
2023-02-17,0.955,1
2023-02-27,0.954,1
2023-03-14,1.174,1
2023-03-24,0.0,0
2023-03-29,0.494,1
2023-05-18,5.696,1
2023-11-19,1.516,1
2023-11-29,4.514,1
2023-12-09,0.824,1
2024-01-08,1.154,1
2024-01-18,5.596,1
2024-02-02,1.43,1
2024-02-12,6.306,1
2024-03-03,2.04,1
2024-03-08,2.48,1
2024-03-13,1.525,1
2024-04-07,1.991,1
2024-04-17,0.922,1
2024-04-27,2.276,1
2024-07-01,4.506,1
2024-07-06,6.961,1
2024-07-16,4.594,1
2024-09-14,1.807,1
2024-11-23,2.418,1
2024-11-28,2.515,1
2024-12-13,6.464,1
2025-01-17,2.41,1
2025-02-06,1.641,1
2025-03-03,1.499,1
2025-03-08,0.154,1
2025-03-18,2.022,1
2025-04-07,4.361,1
2025-04-12,5.0,1
2025-04-27,4.035,1
2025-05-02,2.411,1
2025-05-27,6.73,1
2025-06-01,8.477,1
2025-06-18,8.46,1
2025-06-26,2.436,1
2025-07-01,2.761,1
2025-07-16,3.161,1
2025-08-20,3.739,1
2025-08-25,8.182,1
2025-09-04,4.526,1
2025-09-09,4.153,1
2025-10-06,1.951,1
2025-10-26,1.259,1
2025-12-23,0.0,0
2025-12-25,0.353,1
2026-01-17,0.517,1
2026-02-06,1.077,1
2026-02-11,2.726,1
2026-02-16,0.0,0
2026-02-26,0.0,0
2026-03-03,0.948,1
2026-03-18,0.694,1
2026-03-25,0.736,1
2026-03-28,3.161,1
2026-04-02,5.827,1
2026-04-22,2.952,1
2026-05-02,3.088,1
