fecha,area_km2
2018-03-05,4.507
2018-03-15,3.791
2018-03-20,6.088
2018-03-25,3.183
2018-05-04,1.134
2018-05-24,3.736
2018-09-06,2.923
2018-10-01,1.913
2018-10-21,1.882
2018-11-15,0.052
2018-11-20,0.797
2018-11-25,0.004
2018-12-10,0.028
2018-12-15,0.229
2018-12-30,1.038
2019-03-05,1.697
2019-03-10,0.0
2019-06-08,5.969
2019-06-18,3.521
2019-07-03,3.182
2019-08-02,7.173
2021-02-22,1.379
2021-04-13,0.297
2021-05-23,4.286
2021-07-02,3.523
2021-07-27,5.019
2021-08-01,2.167
2021-11-29,0.021
2021-12-04,0.334
2022-01-18,0.958
2022-01-23,0.019
2022-02-27,0.699
2022-03-24,2.601
2022-03-29,0.261
2022-04-03,0.832
2022-04-13,1.507
2022-04-28,3.665
2022-05-03,2.823
2022-07-07,4.544
2022-11-14,0.314
2022-12-04,0.903
2022-12-19,0.874
2022-12-24,0.019
2023-01-03,0.245
2023-01-28,0.302
2023-02-02,0.94
2023-02-17,1.015
2023-02-27,0.933
2023-03-14,1.846
2023-03-24,0.053
2023-03-29,0.464
2023-05-18,3.21
2023-10-25,6.554
2023-11-19,1.824
2023-11-29,4.395
2023-12-04,13.56
2023-12-09,1.459
2023-12-24,8.466
2023-12-29,5.882
2024-01-03,10.241
2024-01-08,1.369
2024-01-18,7.785
2024-02-02,3.811
2024-02-07,4.326
2024-02-12,6.972
2024-02-17,3.608
2024-03-03,2.592
2024-03-08,5.399
2024-03-13,2.324
2024-04-07,5.92
2024-04-17,2.115
2024-04-27,2.144
2024-05-12,5.445
2024-05-17,5.335
2024-06-01,5.067
2024-07-01,8.694
2024-07-06,6.222
2024-07-11,2.813
2024-07-16,5.539
2024-07-21,8.526
2024-08-10,2.748
2024-08-25,3.771
2024-09-04,7.69
2024-09-14,6.112
2024-09-24,4.081
2024-10-24,1.984
2024-11-08,2.371
2024-11-13,1.072
2024-11-23,4.376
2024-11-28,1.396
2024-12-03,4.165
2024-12-08,7.268
2024-12-13,5.888
2024-12-18,3.288
2024-12-23,10.21
2024-12-28,6.553
2025-01-02,3.672
2025-01-17,1.922
2025-01-22,3.027
2025-01-27,4.567
2025-02-06,1.801
2025-02-11,13.757
2025-02-16,4.268
2025-02-26,1.806
2025-03-03,1.548
2025-03-08,1.561
2025-03-13,2.097
2025-03-18,1.453
2025-03-23,0.838
2025-04-02,12.068
2025-04-07,4.736
2025-04-12,6.124
2025-04-19,0.075
2025-04-27,3.736
2025-05-02,3.669
2025-05-27,7.515
2025-06-01,6.964
2025-06-18,9.092
2025-06-26,6.304
2025-07-01,5.255
2025-07-11,5.532
2025-07-16,3.803
2025-08-20,5.711
2025-08-25,6.309
2025-09-04,4.798
2025-09-09,2.756
2025-09-19,9.456
2025-09-24,5.37
2025-09-29,5.431
2025-10-06,0.411
2025-10-09,14.357
2025-10-24,0.137
2025-10-26,1.908
2025-10-29,0.038
2025-11-13,3.808
2025-11-18,0.012
2025-11-28,1.652
2025-12-05,2.427
2025-12-13,0.738
2025-12-23,1.196
2025-12-25,0.364
2025-12-28,0.55
2026-01-07,0.841
2026-01-17,0.935
2026-01-22,0.271
2026-01-27,2.149
2026-02-06,0.745
2026-02-11,2.007
2026-02-16,0.02
2026-02-26,0.097
2026-03-03,0.899
2026-03-18,0.402
2026-03-25,0.598
2026-03-28,2.436
2026-04-02,3.713
2026-04-22,4.036
2026-05-02,3.234
