fecha,area_km2
2023-11-19,9.854
2023-11-29,9.256
2023-12-09,5.262
2024-01-08,8.282
2024-01-18,7.828
2024-02-02,8.855
2024-02-12,8.191
2024-03-03,3.223
2024-03-08,6.253
2024-03-13,3.96
2024-04-07,6.777
2024-04-17,3.43
2024-04-27,3.297
2024-07-01,10.142
2024-07-06,7.563
2024-07-16,6.671
2024-09-14,8.362
2024-11-23,8.007
2024-11-28,11.031
2024-12-13,6.807
2025-01-17,4.634
2025-02-06,2.895
2025-03-03,1.977
2025-03-08,4.608
2025-03-18,2.502
2025-04-07,5.24
2025-04-12,7.514
2025-04-27,4.728
2025-05-02,7.099
2025-05-27,9.011
2025-06-01,8.346
2025-06-18,9.715
2025-06-26,8.714
2025-07-01,8.176
2025-07-16,6.585
2025-08-20,6.759
2025-08-25,8.12
2025-09-04,6.177
2025-09-09,4.744
2025-10-06,3.883
2025-10-26,4.29
2025-12-23,1.231
2025-12-25,2.722
2026-01-17,1.394
2026-02-06,0.828
2026-02-11,2.636
2026-02-16,0.254
2026-02-26,0.33
2026-03-03,1.796
2026-03-18,1.003
2026-03-25,1.555
2026-03-28,2.557
2026-04-02,5.848
2026-04-22,5.174
2026-05-02,4.919
