fecha;Viento_prom_ms;Viento_max_ms;Dir_viento_deg;T_aire_C;Punto_rocio_C;Hs_m;Ts_s;Tp_s;Dir_deg;T_agua;Hmax_m;hora_utc_usada;hora_objetivo_utc;Q_m3s;nivel_rel_m;marea_estado;area_km2;marea_subiendo
2023-10-25;2.6;4.1;231;9.5;8.9;2.01;8.9;9.5;217.4;12.58;2.74;13;13;34.907;0.412;bajando;6.554;0
2023-11-19;2.8;3.7;202;11.8;9.9;2.08;10.2;11.8;220.8;12.7;3.01;13;13;122.714;-0.419;bajamar;1.824;0
2023-11-29;6.8;8.3;223;12.7;11.3;1.87;7.9;8.7;226.7;13.07;3.22;13;13;235.764;-0.109;subiendo;4.395;1
2023-12-04;3.6;5.1;218;9.7;9.1;2.81;10.0;12.5;223.5;11.73;5.76;13;13;190.767;-0.29;bajando;13.56;0
2023-12-09;5.3;6.5;213;12.2;10.6;1.87;8.3;8.7;216.8;12.69;2.97;13;13;202.489;0.19;bajando;1.459;0
2023-12-24;1.9;3.1;353;14.3;10.5;1.74;9.1;11.1;221.6;15.42;3.17;13;13;241.198;0.238;pleamar;8.466;0
2023-12-29;1.0;1.5;53;15.8;13.2;0.94;10.6;11.8;229.1;16.63;1.47;13;13;226.81;-0.237;subiendo;5.882;1
2024-01-03;2.8;3.7;298;15.4;13.7;1.89;9.4;14.3;220.8;17.33;3.28;13;13;209.326;-0.301;bajamar;10.241;0
2024-01-08;9.3;11.3;237;16.2;13.0;1.88;7.4;15.4;231.9;15.49;2.76;18;13;211.042;0.145;pleamar;1.369;0
2024-01-18;0.5;1.3;224;12.1;11.6;2.2;8.4;13.3;223.3;13.54;3.59;13;13;149.841;-0.431;bajando;7.785;0
2024-02-02;4.8;5.8;212;14.7;14.1;1.83;9.1;12.5;216.4;19.0;2.91;13;13;124.081;-0.262;bajamar;3.811;0
2024-02-07;0.8;1.8;148;13.7;13.2;1.96;10.7;13.3;231.5;15.74;2.91;13;13;103.04;0.127;pleamar;4.326;0
2024-02-12;3.5;4.8;216;14.9;13.0;2.07;9.5;12.5;225.0;16.32;2.91;13;13;88.437;-0.07400000000000001;;6.972;0
