fecha;Hs_m;Ts_s;Tp_s;Dir_deg;T_agua;Hmax_m;hora_utc_usada;Q_m3s;hora_usada;nivel_rel_m;marea_estado
10/16/2023;2.07;7.7;8.3;218.5;12.08;3.08;17;40.11;10:00;0.166;subiendo
10/17/2023;1.63;8.2;8.7;212.2;12.02;2.47;13;34.193;10:00;0.018;subiendo
10/18/2023;1.36;9.8;11.1;225.2;12.44;2.24;13;34.193;10:00;-0.217;subiendo
10/19/2023;1.44;9.3;15.4;226.4;12.56;2.28;13;40.11;10:00;-0.281;subiendo
10/20/2023;1.29;9.6;14.3;230.3;13.06;2.02;13;40.908;10:00;-0.332;bajamar
10/21/2023;1.91;12.8;14.3;237.1;13.1;3.24;13;38.599;10:00;-0.363;bajando
10/22/2023;1.83;9.4;13.3;230.7;13.33;3.03;13;37.088;10:00;-0.231;bajando
10/23/2023;2.04;9.9;11.8;225.3;13.23;3.2;13;34.907;10:00;-0.1;bajando
10/24/2023;1.84;8.7;11.8;232.5;12.65;2.74;13;34.907;10:00;0.15;bajando
10/25/2023;2.01;8.9;9.5;217.4;12.58;2.74;13;34.907;10:00;0.412;bajando
10/26/2023;2.14;11.1;12.5;217.3;13.26;3.17;13;34.907;10:00;0.576;bajando
10/27/2023;2.16;12.9;14.3;221.2;13.79;3.03;13;36.333;10:00;0.632;pleamar
10/28/2023;1.78;12.2;13.3;233.6;13.72;2.72;13;39.355;10:00;0.584;subiendo
10/29/2023;2.92;12;15.4;236.5;12.84;4.88;13;54.566;10:00;0.364;subiendo
10/30/2023;3.14;11.8;12.5;232;13.1;4.64;13;67.213;10:00;0.104;subiendo
10/31/2023;2.61;10.3;13.3;224.5;13.11;4.25;13;37.088;10:00;-0.17;subiendo
11-01-2023;1.74;9.1;10.5;216.1;12.81;2.79;13;34.907;10:00;-0.372;subiendo
11-02-2023;1.09;7.3;18.2;225.6;12.87;1.63;13;34.907;10:00;-0.511;subiendo
11-03-2023;1.25;7;15.4;221;12.85;1.93;13;34.907;10:00;-0.452;bajamar
11-04-2023;1.9;7.7;8;215.6;12.63;2.67;13;34.907;10:00;-0.313;bajando
11-05-2023;1.05;9.4;12.5;227.3;13.24;1.9;13;34.907;10:00;-0.21;bajando
11-06-2023;0.93;10.1;11.8;231.6;13.48;1.45;13;34.907;10:00;-0.038;bajando
11-07-2023;1.4;9;10.5;243.8;13.69;2.15;13;34.193;10:00;0.031;bajando
11-08-2023;3.17;10.7;11.8;232;13.03;4.95;13;37.088;10:00;0.148;bajando
11-09-2023;2.68;10.1;14.3;223.7;12.8;3.86;13;35.62;10:00;0.306;bajando
11-10-2023;1.66;9.5;12.5;220;12.58;2.61;13;51.833;10:00;0.375;bajando
11-11-2023;2.03;15;16.7;228.5;13.04;2.63;13;525.015;10:00;0.397;pleamar
11-12-2023;2.86;9.7;13.3;229.3;12.78;4.56;13;248.516;10:00;0.349;pleamar
11/13/2023;3.08;11.4;12.5;219.7;12.61;4.4;13;192.425;10:00;0.234;subiendo
11/14/2023;2.59;9.4;8;222.1;12.03;4.29;13;138.129;10:00;0.171;subiendo
11/15/2023;2.71;10.5;14.3;218;12.07;4.42;13;124.081;10:00;-0.066;subiendo
11/16/2023;1.96;10.4;13.3;209.8;12.07;3.4;13;119.979;10:00;-0.229;subiendo
11/17/2023;1.33;10.6;12.5;220.3;12.02;2.61;13;113.315;10:00;-0.416;subiendo
11/18/2023;2.43;10.8;11.1;227.1;13.87;4.22;13;124.081;10:00;-0.467;bajamar
11/19/2023;2.08;10.2;11.8;220.8;12.7;3.01;13;122.714;10:00;-0.419;bajamar
11/20/2023;1.3;8.3;8.3;236.9;13.64;1.78;13;108.125;10:00;-0.36;bajando
11/21/2023;1.92;8.5;10;227.4;13.16;2.96;13;103.04;10:00;-0.183;bajando
11/22/2023;2.36;10.5;13.3;222;12.9;3.46;13;114.648;10:00;-0.034;bajando
11/23/2023;2.26;8.5;13.3;221.3;12.69;3.27;13;115.981;10:00;0.227;bajando
11/24/2023;2.17;9.4;10;223.7;12.98;3.51;13;136.693;10:00;0.376;bajando
11/25/2023;1.29;9.5;13.3;237.1;13.9;2.08;13;160.445;10:00;0.454;pleamar
11/26/2023;1.41;7.8;6.5;217.1;13.87;2.33;13;199.114;9:30;0.437;pleamar
11/27/2023;1.13;11.3;11.1;221.5;13.51;1.57;13;226.81;10:00;0.284;subiendo
11/28/2023;1.36;10.5;12.5;235;13.4;2.03;13;232.16;10:00;0.11;subiendo
11/29/2023;1.87;7.9;8.7;226.7;13.07;3.22;13;235.764;10:00;-0.109;subiendo
11/30/2023;1.95;8.9;13.3;222.4;12.34;3.02;13;217.996;10:00;-0.251;subiendo
12-01-2023;2.13;12.2;14.3;226.3;12.66;3.12;13;217.996;10:00;-0.381;subiendo
12-02-2023;2.27;12;12.5;242.3;12.54;3.62;13;221.487;10:00;-0.449;bajamar
12-03-2023;3.14;9.4;11.1;228.6;12.27;4.62;13;209.326;10:00;-0.367;bajamar
12-04-2023;2.81;10;12.5;223.5;11.73;5.76;13;190.767;10:00;-0.29;bajando
12-05-2023;1.75;9.1;11.8;228.8;13.05;2.9;13;182.571;10:00;-0.197;bajando
12-06-2023;1.11;8.7;9.1;251.9;13.56;2.04;13;184.198;10:00;-0.096;bajando
12-07-2023;1.46;8;8;217.4;14.1;2.15;13;169.771;10:00;0.051;bajando
12-08-2023;2.07;7.8;8;224.9;14.16;3.07;13;174.528;10:00;0.121;bajando
12-09-2023;1.87;8.3;8.7;216.8;12.69;2.97;13;202.489;10:00;0.19;bajando
12-10-2023;1.87;7.7;9.1;216.5;12.28;3.17;13;217.996;10:00;0.305;bajando
12-11-2023;1.9;11;14.3;223.4;12.77;2.96;12;228.584;10:00;0.302;pleamar
12-12-2023;1.77;9.7;13.3;231.9;13.86;2.7;13;244.857;10:00;0.265;subiendo
12/13/2023;2.07;9.6;10.5;224.8;14.43;2.87;13;235.764;10:00;0.131;subiendo
12/14/2023;2.63;9.3;9.1;214.9;13.51;4.86;13;243.027;10:00;-0.021;subiendo
12/15/2023;1.92;11.8;13.3;229.9;13.57;3.18;13;237.566;10:00;-0.164;subiendo
12/16/2023;1.92;11.8;15.4;231.8;14.16;3.42;13;235.764;10:00;-0.343;subiendo
12/17/2023;1.9;10.4;14.3;229.7;13.93;3.07;13;254.086;10:00;-0.491;subiendo
12/18/2023;2.6;9.1;8.7;219.1;14.12;3.81;13;255.942;10:00;-0.458;bajamar
12/19/2023;2.1;9;10;214.1;13.79;3.31;13;225.035;10:00;-0.407;bajando
12/20/2023;1.1;8.3;10.5;226.5;13.04;1.69;13;219.741;10:00;-0.266;bajando
12/21/2023;1.36;7.2;8.3;224.9;12.71;2.08;13;216.25;10:00;-0.093;bajando
12/22/2023;1.2;7;7.1;226.7;13.26;2.1;13;212.759;10:00;0.088;bajando
12/23/2023;2.01;8.6;8.7;216;13.42;3.67;13;228.584;10:00;0.204;bajando
12/24/2023;1.74;9.1;11.1;221.6;15.42;3.17;13;241.198;10:00;0.238;pleamar
12/25/2023;1.81;9.4;10.5;226.3;15.26;2.84;13;232.16;10:00;0.273;pleamar
12/26/2023;1.72;8.8;9.1;220.2;16.54;3.26;13;241.198;10:00;0.152;subiendo
12/27/2023;1.19;10.8;14.3;225.5;15.66;1.78;13;243.027;10:00;0.079;subiendo
12/28/2023;1.02;10.7;12.5;232.9;16.37;1.6;13;248.516;10:00;-0.121;subiendo
12/29/2023;0.94;10.6;11.8;229.1;16.63;1.47;13;226.81;10:00;-0.237;subiendo
12/30/2023;1.02;11.1;13.3;245;17.02;1.55;13;189.11;10:00;-0.288;subiendo
12/31/2023;1.22;11.2;11.1;251.3;18.58;2.05;13;225.035;10:00;-0.366;subiendo
01-01-2024;1.2;11.1;20;260.3;18.26;1.88;13;241.198;10:00;-0.387;bajamar
01-02-2024;1.38;9.8;18.2;258.2;17.3;2.52;13;235.764;10:00;-0.363;bajamar
01-03-2024;1.89;9.4;14.3;220.8;17.33;3.28;13;209.326;10:00;-0.301;bajamar
01-04-2024;2.28;12.8;12.5;227;17.36;3.97;13;217.996;10:00;-0.235;bajando
01-05-2024;2.27;14.2;11.8;249.3;17.91;3.37;13;226.81;10:00;-0.15;bajando
01-08-2024;1.88;7.4;15.4;231.9;15.49;2.76;18;211.042;10:00;0.145;pleamar
01-09-2024;2.06;8.5;8.3;228.6;14.36;3.38;13;187.452;10:00;0.182;pleamar
01-10-2024;2.21;9.3;10;217.8;13.96;3.03;13;185.825;10:00;0.201;pleamar
01-11-2024;2.57;10.1;13.3;214.8;13.74;3.79;13;177.721;10:00;0.149;subiendo
01-12-2024;2.05;11;20;233.8;14.97;2.9;13;174.528;10:00;-0.001;subiendo
1/13/2024;1.76;10.1;18.2;234.8;15.78;3.05;13;158.911;10:00;-0.175;subiendo
1/14/2024;1.69;8.4;8.3;223.5;16.12;3.19;13;160.445;10:00;-0.313;subiendo
1/15/2024;2.12;8.6;8.7;226.1;14.74;3.2;13;158.911;10:00;-0.46;subiendo
1/16/2024;1.68;9.3;15.4;227.3;14.21;2.7;13;151.342;10:00;-0.565;bajamar
1/17/2024;2.17;8.6;8.3;223.6;13.68;3.16;13;146.872;10:00;-0.509;bajamar
1/18/2024;2.2;8.4;13.3;223.3;13.54;3.59;13;149.841;10:00;-0.431;bajando
1/19/2024;3.07;9.1;10.5;223.8;13.26;4.81;13;161.978;10:00;-0.243;bajando
1/20/2024;3.13;10.7;12.5;222.2;13.86;4.93;13;160.445;10:00;-0.098;bajando
1/21/2024;2.45;10.5;11.1;219.9;14.37;4.27;13;177.721;10:00;0.051;bajando
