Conjunto;Modelo;Numero_variables;R2_media;R2_mediana;R2_std;R2_min;R2_max;Porcentaje_R2_positivo;MAE_media;RMSE_media;R2_OOF_promedio
Base_viento_deltaT;RF_regularizado;12;0.08716449745919727;0.13833813012446722;0.10040647273378242;-0.06229519148450269;0.19529698372566007;70.0;1.8601398320117846;2.195089427488764;0.1170541017461747
Base_viento_deltaT;RF_intermedio;12;0.06892686063634716;0.12111789945583273;0.11759098693066566;-0.11834434266303662;0.1974063557948842;70.0;1.867041453373016;2.2159938290461736;0.10337838335107274
Base_sin_Hs;RF_regularizado;8;0.0673596978095381;0.09632912428075607;0.11406103993254176;-0.20534666100024412;0.20509127379116343;80.0;1.8075777822640091;2.21823851049777;0.10545843338684402
Base_viento_deltaT;RF_original;12;0.05900871564462636;0.12377193719594398;0.12078210573602975;-0.1161948444689529;0.1892512511802601;70.0;1.8725445833333338;2.2276175562291343;0.10005386628458901
Original_exacto;RF_regularizado;8;0.05894165680988185;0.08962188552365646;0.11214083726300629;-0.1988192859007194;0.18728284768266912;80.0;1.8209336350784635;2.228380148601365;0.09939556908203895
Base_meteo_completa;RF_regularizado;13;0.056483515376519;0.10660754054519556;0.11563432473934425;-0.15834932170856475;0.19763582681890202;70.0;1.8683675878132515;2.231017697394029;0.09123120971247589
Base_sin_Hs;RF_original;8;0.05096248723295062;0.07331268965902077;0.14172092526988578;-0.28616644249662326;0.22220626552772238;80.0;1.7881548666666673;2.235952904475287;0.0991175650285584
Base_mas_viento;RF_regularizado;10;0.04691201041776215;0.09527858418496826;0.12579812976790183;-0.21936828644064232;0.19135659350862322;70.0;1.8652573952125422;2.2417839349614463;0.08491594862290441
Original_exacto;RF_original;8;0.035771410375236665;0.050807647327677674;0.12896928922190154;-0.2717096574102793;0.20449007973738964;80.0;1.8114957166666674;2.254787826603796;0.08620302509674937
Base_sin_Hs;RF_intermedio;8;0.034475114346576574;0.048738302240242115;0.12366622792295764;-0.2545699713623044;0.19033616100453843;80.0;1.8283958040211643;2.2566285701859647;0.07743384769669415
Original_exacto;RF_intermedio;8;0.03046334007062278;0.056430697998411106;0.1214164470885203;-0.25937255174860274;0.1774633447018963;80.0;1.8344952272784396;2.2615197565655776;0.07581772053482283
Base_mas_viento_max;RF_regularizado;11;0.02858697709271808;0.0736452143108573;0.12899154537906238;-0.2371565672614231;0.19208442767213696;70.0;1.8891513258390453;2.2631427193428713;0.06593824230933953
Base_meteo_completa;RF_original;13;0.023414523200896487;0.07520240279683515;0.1250989446473333;-0.19674155935769555;0.18406766188601753;70.0;1.8779998499999997;2.2694079471498427;0.06590589736576646
Base_mas_viento;RF_original;10;0.013964375382335869;0.04843154673457534;0.14351535771154286;-0.2714614203413144;0.2009513152794321;70.0;1.8836279666666669;2.2792159864121584;0.06284004279714239
Base_meteo_completa;RF_intermedio;13;0.013266027481364417;0.06198458776555055;0.12243206392228474;-0.23047922474654747;0.14995847153243824;70.0;1.9033484603439148;2.2814783294456857;0.05161281358587699
Base_mas_viento_max;RF_original;11;0.009569694649903083;0.04488691492690794;0.14275698463190903;-0.2778136684583614;0.19851356636050743;70.0;1.8883201;2.2843972623687203;0.056712102323019375
Base_mas_viento;RF_intermedio;10;0.009489183318367445;0.03875900241360736;0.13101778284421;-0.25307279680171857;0.18212687168347563;70.0;1.8909644650892858;2.2852816286663984;0.053050214307318155
Base_mas_viento_max;RF_intermedio;11;0.006006335628238202;0.03512594643360306;0.12826671563889938;-0.25408467049000083;0.18625669059508987;70.0;1.9058135276686508;2.289486935369813;0.047209168181870376
